Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
723,1030,723,991.84793,723,1030,723,1.0147
724,890,724,856.27417,724,890,724,1.0156
725,850,725,818.43462,725,850,725,1.0148
726,940,726,905.18161,726,940,726,1.0147
727,880,727,843.57981,727,880,727,1.0193
728,1090,728,1046.83996,728,1090,728,1.0174
729,930,729,889.4163,729,930,729,1.0217
730,900,730,863.09077,730,900,730,1.0189
731,930,731,889.93892,731,930,731,1.0211
732,990,732,950.70615,732,990,732,1.0175
733,730,733,699.99382,733,730,733,1.019
734,850,734,815.38136,734,850,734,1.0186
735,850,735,816.66417,735,850,735,1.017
736,940,736,904.64668,736,940,736,1.0153
737,870,737,836.86725,737,870,737,1.0158
738,820,738,787.9182,738,820,738,1.0169
739,1060,739,1020.63612,739,1060,739,1.0148
740,790,740,758.04829,740,790,740,1.0183
741,1020,741,979.51543,741,1020,741,1.0175
742,880,742,847.15359,742,880,742,1.015
743,1030,743,988.82697,743,1030,743,1.0178
744,920,744,885.05019,744,920,744,1.0157
745,770,745,738.56708,745,770,745,1.0187
746,790,746,759.16658,746,790,746,1.0168
747,770,747,738.20475,747,770,747,1.0192
748,920,748,883.39768,748,920,748,1.0176
749,930,749,893.0876,749,930,749,1.0175
750,640,750,615.3236,750,640,750,1.0163
751,970,751,930.85957,751,970,751,1.0182
752,810,752,777.08677,752,810,752,1.0185
753,890,753,854.17154,753,890,753,1.0181
754,880,754,846.56975,754,880,754,1.0157
755,830,755,797.84079,755,830,755,1.0165
756,850,756,817.22666,756,850,756,1.0163
757,860,757,827.32953,757,860,757,1.0157
758,850,758,814.8214,758,850,758,1.0193
759,910,759,876.29283,759,910,759,1.0147
760,910,760,871.82502,760,910,760,1.0199
761,830,761,794.40216,761,830,761,1.0209
762,930,762,892.91209,762,930,762,1.0177
763,880,763,846.9867,763,880,763,1.0152
764,800,764,768.8519,764,800,764,1.0167
765,990,765,951.8287,765,990,765,1.0163
766,910,766,874.48302,766,910,766,1.0168
767,830,767,798.86245,767,830,767,1.0152
768,780,768,751.62666,768,780,768,1.014
769,850,769,815.94209,769,850,769,1.0179
770,1110,770,1064.89668,770,1110,770,1.0185
771,850,771,819.24192,771,850,771,1.0138
772,980,772,941.19556,772,980,772,1.0174
773,800,773,769.3059,773,800,773,1.0161
774,830,774,797.52696,774,830,774,1.0169
775,820,775,786.83494,775,820,775,1.0183
