Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
749,1140,749,1097.77344,749,1140,749,1.0147
750,1040,750,1002.46546,750,1040,750,1.0137
751,1250,751,1203.10611,751,1250,751,1.0152
752,1200,752,1155.66488,752,1200,752,1.0146
753,1160,753,1116.48247,753,1160,753,1.0152
754,1050,754,1011.20677,754,1050,754,1.0146
755,1230,755,1187.36517,755,1230,755,1.0122
756,1070,756,1028.84539,756,1070,756,1.0162
757,960,757,925.07896,757,960,757,1.014
758,1160,758,1117.58332,758,1160,758,1.0142
759,1060,759,1017.42783,759,1060,759,1.018
760,1020,760,983.67247,760,1020,760,1.0132
761,1180,761,1132.4971,761,1180,761,1.0181
762,1190,762,1143.6672,762,1190,762,1.0167
763,1030,763,990.48135,763,1030,763,1.0161
764,950,764,916.07512,764,950,764,1.0133
765,1110,765,1067.62208,765,1110,765,1.0159
766,1150,766,1107.40303,766,1150,766,1.0147
767,980,767,943.14229,767,980,767,1.0153
768,970,768,934.16244,768,970,768,1.0146
769,1220,769,1171.92281,769,1220,769,1.0172
770,1010,770,973.35615,770,1010,770,1.0139
771,1000,771,963.33891,771,1000,771,1.0143
772,1140,772,1099.6157,772,1140,772,1.013
773,980,773,944.35144,773,980,773,1.014
774,850,774,821.42959,774,850,774,1.0111
775,1060,775,1022.24786,775,1060,775,1.0132
776,990,776,951.17356,776,990,776,1.017
777,1110,777,1072.16021,777,1110,777,1.0116
778,940,778,902.42462,778,940,778,1.0178
779,990,779,954.08177,779,990,779,1.0139
780,920,780,886.2718,780,920,780,1.0143
781,1110,781,1068.99001,781,1110,781,1.0146
782,1000,782,964.95621,782,1000,782,1.0126
783,830,783,802.02251,783,830,783,1.0112
784,940,784,905.44931,784,940,784,1.0144
785,1010,785,972.78048,785,1010,785,1.0145
786,950,786,914.8112,786,950,786,1.0147
787,890,787,854.67523,787,890,787,1.0175
788,910,788,876.89777,788,910,788,1.014
789,930,789,895.11094,789,930,789,1.0152
790,920,790,885.48609,790,920,790,1.0152
791,1030,791,993.61052,791,1030,791,1.0129
792,850,792,817.30708,792,850,792,1.0162
793,980,793,944.44458,793,980,793,1.0139
794,1060,794,1020.03303,794,1060,794,1.0154
795,1030,795,989.79946,795,1030,795,1.0168
796,880,796,848.07269,796,880,796,1.0139
797,1050,797,1011.70534,797,1050,797,1.0141
798,870,798,840.59107,798,870,798,1.0113
799,1110,799,1070.78415,799,1110,799,1.0129
800,920,800,887.49677,800,920,800,1.0129
